q,tau,mean,ci_low,ci_high,median,p90,num_stalled,num_successful
0.1,0,13.0,13.0,13.0,13.0,13.0,0,20
0.1,2,15.0,15.0,15.0,15.0,15.0,0,20
0.1,3,16.0,16.0,16.0,16.0,16.0,0,20
0.1,4,17.0,17.0,17.0,17.0,17.0,0,20
0.1,5,18.0,18.0,18.0,18.0,18.0,0,20
0.1,6,18.95,18.845348797279588,19.05465120272041,19.0,19.0,0,20
0.2,0,7.1,6.9559482051647565,7.244051794835243,7.0,7.100000000000001,0,20
0.2,2,9.1,8.955948205164757,9.244051794835242,9.0,9.100000000000001,0,20
0.2,3,10.3,10.079957248724417,10.520042751275584,10.0,11.0,0,20
0.2,4,11.3,11.079957248724417,11.520042751275584,11.0,12.0,0,20
0.2,5,12.15,11.978544069530162,12.321455930469838,12.0,13.0,0,20
0.2,6,13.0,13.0,13.0,13.0,13.0,0,20
0.4,0,4.9,4.755948205164757,5.0440517948352435,5.0,5.0,0,20
0.4,2,6.9,6.755948205164757,7.0440517948352435,7.0,7.0,0,20
0.4,3,7.95,7.845348797279587,8.054651202720413,8.0,8.0,0,20
0.4,4,9.0,9.0,9.0,9.0,9.0,0,20
0.4,5,9.95,9.845348797279586,10.054651202720413,10.0,10.0,0,20
0.4,6,10.65,10.420972243120318,10.879027756879683,11.0,11.0,0,20
0.6,0,3.25,3.0420791436865593,3.4579208563134407,3.0,4.0,0,20
0.6,2,5.25,5.042079143686559,5.457920856313441,5.0,6.0,0,20
0.6,3,6.2,6.007930940219676,6.392069059780324,6.0,7.0,0,20
0.6,4,7.2,7.007930940219676,7.392069059780324,7.0,8.0,0,20
0.6,5,8.15,7.978544069530162,8.321455930469838,8.0,9.0,0,20
0.6,6,9.0,9.0,9.0,9.0,9.0,0,20
