tau,q,mean,ci_low,ci_high,median,p90
0,0.0,27.3,26.895399333874458,27.704600666125543,27.0,28.1
0,0.1,87.55,86.0741036137084,89.02589638629159,88.0,90.1
0,0.2,52.65,51.76103195337555,53.53896804662445,52.5,55.0
0,0.30000000000000004,39.65,38.87166101903168,40.42833898096832,39.0,42.0
0,0.4,32.65,32.21320121635963,33.08679878364037,33.0,34.0
0,0.5,27.95,27.594704684985665,28.305295315014334,28.0,29.0
0,0.6000000000000001,24.7,24.357088139060323,25.042911860939675,25.0,26.0
0,0.7000000000000001,22.1,21.841419114682896,22.358580885317107,22.0,23.0
0,0.8,20.45,20.1669423977085,20.7330576022915,20.0,21.0
0,0.9,18.95,18.845348797279588,19.05465120272041,19.0,19.0
0,1.0,18.0,18.0,18.0,18.0,18.0
2,0.0,27.1,26.800132276529403,27.3998677234706,27.0,28.0
2,0.1,90.25,88.59444854206423,91.90555145793577,91.0,93.2
2,0.2,52.85,51.74169536807227,53.95830463192773,53.0,56.0
2,0.30000000000000004,39.35,38.73742690557437,39.962573094425636,39.5,40.1
2,0.4,32.4,31.934455343835015,32.865544656164985,32.5,33.0
2,0.5,27.75,27.492536099970938,28.007463900029062,28.0,28.0
2,0.6000000000000001,24.1,23.800132276529403,24.3998677234706,24.0,25.0
2,0.7000000000000001,21.95,21.765586194771405,22.134413805228593,22.0,22.0
2,0.8,20.15,19.978544069530162,20.321455930469835,20.0,21.0
2,0.9,18.9,18.755948205164756,19.04405179483524,19.0,19.0
2,1.0,18.0,18.0,18.0,18.0,18.0
3,0.0,27.05,26.607954195975896,27.492045804024105,27.0,28.0
3,0.1,88.85,86.78875018808286,90.91124981191713,89.5,92.5
3,0.2,51.9,51.05593351006151,52.74406648993849,52.0,53.1
3,0.30000000000000004,38.95,38.315245174253974,39.58475482574603,39.0,41.0
3,0.4,31.5,31.112872433644416,31.887127566355584,31.5,32.1
3,0.5,26.8,26.511896410329516,27.088103589670485,27.0,27.1
3,0.6000000000000001,23.85,23.678544069530165,24.021455930469838,24.0,24.0
3,0.7000000000000001,21.6,21.364764404081043,21.83523559591896,22.0,22.0
3,0.8,20.0,20.0,20.0,20.0,20.0
3,0.9,18.85,18.678544069530165,19.021455930469838,19.0,19.0
3,1.0,18.0,18.0,18.0,18.0,18.0
4,0.0,27.05,26.663617626955894,27.436382373044108,27.0,28.0
4,0.1,87.45,85.9355519059047,88.9644480940953,87.0,91.1
4,0.2,50.65,50.096758584314216,51.20324141568578,50.5,52.0
4,0.30000000000000004,37.15,36.71320121635963,37.58679878364037,37.0,38.0
4,0.4,30.3,29.957088139060325,30.642911860939677,30.0,31.1
4,0.5,26.1,25.890697594559175,26.309302405440828,26.0,27.0
4,0.6000000000000001,23.4,23.16476440408104,23.635235595918957,23.0,24.0
4,0.7000000000000001,21.2,21.007930940219676,21.392069059780322,21.0,22.0
4,0.8,20.0,20.0,20.0,20.0,20.0
4,0.9,19.0,19.0,19.0,19.0,19.0
4,1.0,18.0,18.0,18.0,18.0,18.0
5,0.0,27.4,27.08148949743616,27.718510502563838,27.0,28.0
5,0.1,84.7,83.63600848367678,85.76399151632323,85.0,87.0
5,0.2,48.05,47.694704684985666,48.40529531501433,48.0,49.0
5,0.30000000000000004,35.4,35.16476440408104,35.63523559591896,35.0,36.0
5,0.4,29.4,29.16476440408104,29.635235595918957,29.0,30.0
5,0.5,25.55,25.31111712307712,25.78888287692288,26.0,26.0
5,0.6000000000000001,23.0,23.0,23.0,23.0,23.0
5,0.7000000000000001,21.0,21.0,21.0,21.0,21.0
5,0.8,19.7,19.479957248724418,19.92004275127558,20.0,20.0
5,0.9,18.6,18.364764404081043,18.83523559591896,19.0,19.0
5,1.0,18.0,18.0,18.0,18.0,18.0
6,0.0,27.25,26.881954633499674,27.618045366500326,27.0,28.0
6,0.1,79.1,78.533884795417,79.666115204583,79.0,80.1
6,0.2,45.25,45.04207914368656,45.45792085631344,45.0,46.0
6,0.30000000000000004,33.85,33.57520864142153,34.12479135857847,34.0,34.1
6,0.4,28.1,27.95594820516476,28.244051794835244,28.0,28.1
6,0.5,24.9,24.755948205164756,25.04405179483524,25.0,25.0
6,0.6000000000000001,22.25,22.04207914368656,22.45792085631344,22.0,23.0
6,0.7000000000000001,21.0,21.0,21.0,21.0,21.0
6,0.8,19.4,19.16476440408104,19.635235595918957,19.0,20.0
6,0.9,18.25,18.04207914368656,18.45792085631344,18.0,19.0
6,1.0,18.0,18.0,18.0,18.0,18.0
